,rat_id,study_day,condition,treatment,trial_num,total_sleep_duration,total_awake_duration,total_nrem_duration,total_rem_duration,counts_wake,counts_nrem,counts_rem,wake_normalized,nrem_normalized,rem_normalized,nrem_percentage,rem_percentage
44,5,5,OD,1,4,2168.0,502.0,1826.0,171.0,10,9,2,0.18801498127340824,0.6838951310861423,0.06404494382022471,0.8422509225092251,0.07887453874538745
45,5,17,HC,1,1,26.0,2670.0,26.0,0.0,2,1,0,0.9903560830860534,0.009643916913946587,0.0,1.0,0.0
46,5,17,HC,1,2,287.0,2410.0,287.0,0.0,4,3,0,0.8935854653318502,0.10641453466814979,0.0,1.0,0.0
47,5,17,HC,1,4,463.0,2228.0,463.0,0.0,5,5,0,0.8279450018580453,0.17205499814195466,0.0,1.0,0.0
48,5,17,HC,1,5,6562.0,4183.0,5707.0,649.0,20,18,7,0.3892973476035365,0.531130758492322,0.060400186133085156,0.8697043584273088,0.09890277354465102
49,5,17,HC,1,3,322.0,2376.0,322.0,0.0,2,1,0,0.8806523350630097,0.11934766493699037,0.0,1.0,0.0
50,5,7,HC,1,3,2244.0,435.0,1672.0,460.0,3,6,2,0.1623740201567749,0.624113475177305,0.17170586039567,0.7450980392156863,0.20499108734402852
51,5,7,HC,1,2,1933.0,750.0,1548.0,308.0,4,6,3,0.2795378307864331,0.5769660827431979,0.1147968691762952,0.8008277289187791,0.15933781686497672
52,5,7,HC,1,4,2391.0,251.0,2086.0,269.0,8,12,3,0.09500378501135504,0.789553368660106,0.10181680545041635,0.8724383103304056,0.11250522793810121
53,5,7,HC,1,5,5421.0,5291.0,4291.0,830.0,18,27,11,0.49393203883495146,0.40057879014189696,0.07748319641523525,0.7915513742851872,0.15310828260468548
54,5,7,HC,1,1,1227.0,1161.0,1200.0,0.0,5,5,0,0.4861809045226131,0.5025125628140703,0.0,0.9779951100244498,0.0
55,5,6,HC,1,2,2400.0,276.0,2117.0,283.0,10,10,4,0.1031390134529148,0.7911061285500748,0.10575485799701047,0.8820833333333333,0.11791666666666667
56,5,6,HC,1,1,581.0,2113.0,581.0,0.0,3,3,0,0.7843355605048256,0.21566443949517447,0.0,1.0,0.0
57,5,6,HC,1,3,1423.0,1260.0,1220.0,125.0,7,6,2,0.4696235557212076,0.45471487141259787,0.04658963846440552,0.8573436401967673,0.08784258608573436
58,5,6,HC,1,5,4739.0,5977.0,4220.0,368.0,20,24,5,0.5577640910787607,0.39380365808137363,0.03434117207913401,0.8904832243089259,0.07765351339945135
59,5,6,HC,1,4,1862.0,898.0,1566.0,249.0,8,12,2,0.3253623188405797,0.5673913043478261,0.09021739130434783,0.841031149301826,0.13372717508055854
60,3,6,OD,1,2,1626.0,1053.0,1438.0,92.0,7,10,1,0.393057110862262,0.5367674505412467,0.03434117207913401,0.8843788437884379,0.056580565805658053
61,3,6,OD,1,4,1872.0,797.0,1557.0,204.0,10,11,4,0.298613713001124,0.5833645560134882,0.07643312101910828,0.8317307692307693,0.10897435897435898
62,3,6,OD,1,5,5742.0,4912.0,4203.0,944.0,42,54,17,0.46104749389900507,0.39449971841561854,0.08860521869720293,0.731974921630094,0.16440264716126785
63,3,6,OD,1,3,1859.0,818.0,1582.0,175.0,5,10,2,0.3055659320134479,0.5909600298841987,0.0653716847217034,0.8509951586874663,0.09413663259817107
64,3,6,OD,1,1,1784.0,886.0,1484.0,236.0,11,12,2,0.3318352059925094,0.5558052434456929,0.08838951310861423,0.8318385650224215,0.13228699551569506
65,3,7,HC,1,2,1254.0,1434.0,1125.0,89.0,5,5,1,0.5334821428571429,0.4185267857142857,0.03311011904761905,0.8971291866028708,0.07097288676236045
66,3,7,HC,1,3,1957.0,714.0,1704.0,151.0,12,11,2,0.26731561213028826,0.6379633096218644,0.056533133657806066,0.8707204905467553,0.07715891670924885
67,3,7,HC,1,5,4233.0,6517.0,3442.0,515.0,19,18,7,0.6062325581395349,0.3201860465116279,0.04790697674418604,0.8131348925112214,0.12166312308055753
68,3,7,HC,1,1,19.0,2678.0,19.0,0.0,2,1,0,0.992955135335558,0.0070448646644419724,0.0,1.0,0.0
69,3,7,HC,1,4,1727.0,944.0,1353.0,283.0,11,10,4,0.35342568326469487,0.5065518532384875,0.10595282665668289,0.7834394904458599,0.16386797915460335
70,3,2,HC,0,2,849.0,1842.0,816.0,0.0,5,4,0,0.6845039018952063,0.3032329988851728,0.0,0.9611307420494699,0.0
71,3,2,HC,0,4,1171.0,1521.0,941.0,161.0,4,4,2,0.5650074294205052,0.34955423476968794,0.05980683506686479,0.8035866780529461,0.13748932536293765
72,3,2,HC,0,5,4266.0,6475.0,3247.0,617.0,24,21,6,0.602830276510567,0.30229959966483566,0.05744344102038916,0.7611345522737928,0.14463197374589778
73,3,2,HC,0,3,1267.0,1420.0,1109.0,119.0,6,6,1,0.5284704131001117,0.41272794938593227,0.044287309266840345,0.8752959747434885,0.09392265193370165
74,3,2,HC,0,1,215.0,2479.0,215.0,0.0,2,3,0,0.9201930215293245,0.07980697847067557,0.0,1.0,0.0
75,3,17,HC,0,1,0.0,2702.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
76,3,17,HC,0,5,5587.0,5122.0,4531.0,558.0,33,33,9,0.47828928938276216,0.4231020636847511,0.052105705481370806,0.8109897977447647,0.09987470914623232
77,3,17,HC,0,4,2158.0,530.0,1875.0,185.0,4,4,2,0.19717261904761904,0.6975446428571429,0.06882440476190477,0.8688600556070436,0.08572752548656164
78,3,17,HC,0,3,1466.0,1210.0,1243.0,117.0,10,10,1,0.4521674140508221,0.46449925261584457,0.043721973094170405,0.8478854024556617,0.07980900409276943
79,3,17,HC,0,2,0.0,2699.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
80,3,9,HC,1,2,625.0,2064.0,612.0,0.0,5,6,0,0.7675715879509111,0.22759390107846783,0.0,0.9792,0.0
81,3,9,HC,1,1,0.0,2697.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
82,3,9,HC,1,4,1717.0,973.0,1515.0,202.0,5,4,2,0.36171003717472117,0.5631970260223048,0.07509293680297398,0.8823529411764706,0.11764705882352941
83,3,9,HC,1,5,5346.0,5377.0,4625.0,421.0,21,28,15,0.5014454910006528,0.4313158630980136,0.03926140072740837,0.865132809577254,0.07875046763935653
84,3,9,HC,1,3,1141.0,1552.0,1051.0,90.0,3,3,1,0.5763089491273673,0.3902710731526179,0.03341997772001486,0.9211218229623137,0.07887817703768624
85,3,8,HC,0,2,794.0,1898.0,794.0,0.0,4,4,0,0.7050520059435365,0.2949479940564636,0.0,1.0,0.0
86,3,8,HC,0,4,2096.0,582.0,1646.0,360.0,8,8,3,0.2173263629574309,0.614637789395071,0.1344286781179985,0.7853053435114504,0.1717557251908397
87,3,8,HC,0,1,0.0,2699.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
88,3,8,HC,0,5,7030.0,3695.0,5531.0,963.0,26,23,10,0.3445221445221445,0.5157109557109557,0.0897902097902098,0.7867709815078237,0.13698435277382645
89,3,8,HC,0,3,1317.0,1364.0,1046.0,163.0,8,7,3,0.5087653860499813,0.39015292801193585,0.060798209623274896,0.7942293090356871,0.12376613515565679
90,3,4,OD,0,3,1785.0,897.0,1626.0,135.0,7,6,2,0.3344519015659955,0.6062639821029083,0.050335570469798654,0.9109243697478991,0.07563025210084033
91,3,4,OD,0,4,1758.0,923.0,1513.0,135.0,9,8,3,0.3442745244311824,0.5643416635583738,0.050354345393509886,0.8606370875995449,0.07679180887372014
