,rat_id,study_day,condition,treatment,trial_num,total_sleep_duration,total_awake_duration,total_nrem_duration,total_rem_duration,counts_wake,counts_nrem,counts_rem,wake_normalized,nrem_normalized,rem_normalized,nrem_percentage,rem_percentage
96,3,6,OD,1,2.0,1626.0,1053.0,1438.0,92.0,7,10,1,0.393057110862262,0.5367674505412467,0.03434117207913401,0.8843788437884379,0.056580565805658053
97,3,6,OD,1,4.0,1872.0,797.0,1557.0,204.0,10,11,4,0.298613713001124,0.5833645560134882,0.07643312101910828,0.8317307692307693,0.10897435897435898
98,3,6,OD,1,5.1,2039.0,628.0,1653.0,318.0,13,14,2,0.2354705661792276,0.6197975253093363,0.11923509561304838,0.8106915154487494,0.15595880333496812
99,3,6,OD,1,5.2,1895.0,749.0,1312.0,384.0,14,20,8,0.28328290468986383,0.4962178517397882,0.14523449319213314,0.6923482849604221,0.20263852242744063
100,3,6,OD,1,5.3,1410.0,1246.0,935.0,233.0,11,16,6,0.4691265060240964,0.3520331325301205,0.08772590361445783,0.6631205673758865,0.1652482269503546
101,3,6,OD,1,5.4,396.0,2288.0,301.0,9.0,5,6,1,0.8524590163934426,0.11214605067064083,0.0033532041728763042,0.76010101010101,0.022727272727272728
102,3,6,OD,1,3.0,1859.0,818.0,1582.0,175.0,5,10,2,0.3055659320134479,0.5909600298841987,0.0653716847217034,0.8509951586874663,0.09413663259817107
103,3,6,OD,1,1.0,1784.0,886.0,1484.0,236.0,11,12,2,0.3318352059925094,0.5558052434456929,0.08838951310861423,0.8318385650224215,0.13228699551569506
104,3,7,HC,1,2.0,1254.0,1434.0,1125.0,89.0,5,5,1,0.5334821428571429,0.4185267857142857,0.03311011904761905,0.8971291866028708,0.07097288676236045
105,3,7,HC,1,3.0,1957.0,714.0,1704.0,151.0,12,11,2,0.26731561213028826,0.6379633096218644,0.056533133657806066,0.8707204905467553,0.07715891670924885
106,3,7,HC,1,5.1,0.0,2699.0,0.0,0.0,1,0,0,1.0,0.0,0.0,,
107,3,7,HC,1,5.2,867.0,1817.0,734.0,93.0,7,6,1,0.6769746646795827,0.27347242921013415,0.03464977645305514,0.8465974625144176,0.10726643598615918
108,3,7,HC,1,5.3,1147.0,1537.0,971.0,86.0,6,6,2,0.5726527570789866,0.36177347242921015,0.03204172876304024,0.8465562336530078,0.07497820401046207
109,3,7,HC,1,5.4,2218.0,458.0,1736.0,336.0,7,7,4,0.1711509715994021,0.648729446935725,0.12556053811659193,0.7826871055004508,0.151487826871055
110,3,7,HC,1,1.0,19.0,2678.0,19.0,0.0,2,1,0,0.992955135335558,0.0070448646644419724,0.0,1.0,0.0
111,3,7,HC,1,4.0,1727.0,944.0,1353.0,283.0,11,10,4,0.35342568326469487,0.5065518532384875,0.10595282665668289,0.7834394904458599,0.16386797915460335
112,3,2,HC,0,2.0,849.0,1842.0,816.0,0.0,5,4,0,0.6845039018952063,0.3032329988851728,0.0,0.9611307420494699,0.0
113,3,2,HC,0,4.0,1171.0,1521.0,941.0,161.0,4,4,2,0.5650074294205052,0.34955423476968794,0.05980683506686479,0.8035866780529461,0.13748932536293765
114,3,2,HC,0,5.1,1685.0,994.0,1404.0,155.0,9,8,1,0.3710339678984696,0.5240761478163494,0.05785740948114968,0.8332344213649852,0.09198813056379822
115,3,2,HC,0,5.2,1353.0,1326.0,909.0,269.0,7,6,3,0.49496080627099664,0.3393057110862262,0.10041060097051138,0.6718403547671841,0.19881744271988175
